fileName,contractName,LOC,WFC,WMC,NPF,AFC,Max_cc,Avg_cc,MOA,CBO,RFC,CA,CE,IC,CBF,LCOF,LCOF3,CAF,DIT,NOC,MFA,DAM,NC,NTF,NSF,NATV,NDO,NRF,NE,TNP,TNMSV,NUAP,TNTDF,bugTotalNumber,DAOMethodCall,DelegateCallWithUserInput,UnsafeCallTarget,TODAmount,TODReceiver,TODTransfer,DAO,DAOConstantGas,UnprivilegedSuicide,UnrestrictedEtherFlow,UnrestrictedWrite,UseOfOrigin,IntegerOverflow,DivisionBeforeCallvalue,DivisionBeforeMultiply,LockedEther,MissingInputValidation,UnhandledException,WriteOnly,UnsafeDependenceOnBlock,UnsafeDependenceOnGas
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,DetailedERC20,11,1,0,1,5.0,1,0.5,1,2,1,1,1,1,0,0,0,1.0,2,1,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,ERC20Basic,6,3,0,3,1.0,1,0.75,0,2,3,2,0,0,0,0,0,0.5,0,2,0.0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,MintableToken,36,2,1,2,5.333333333333333,1,0.6666666666666666,2,5,10,3,2,2,0,1,1.5,0.5,3,1,0.0,0.0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,Crowdsale,96,8,0,3,6.125,1,0.8888888888888888,3,3,27,1,2,0,0,16,1.1428571428571428,0.25,0,1,0.0,0.0,0,1,0,1,0,6,1,6,7,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,SafeMath,41,4,0,0,5.75,2,1.0,0,4,7,4,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,ApproveAndCallFallBack,7,1,0,1,5.0,1,0.5,0,0,1,0,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,SkillChainPrivateSale,80,6,0,4,10.166666666666666,2,1.0,6,5,28,0,5,2,0,9,1.2,0.5,2,0,0.0,0.0,0,1,0,0,0,4,0,9,1,8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,SkillChainContributions,21,3,0,3,4.0,2,1.0,1,3,6,1,2,1,0,1,1.5,0.3333333333333333,1,0,0.0,0.0,0,0,0,2,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,StandardToken,87,5,0,5,6.8,2,1.0,2,3,18,1,2,2,0,0,1.25,0.6,2,1,0.0,1.0,0,0,0,2,0,3,0,11,5,11,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0x0bcaa1c8da60b9f9711191ebf192c879870b322a,BasicToken,40,3,0,3,5.333333333333333,1,0.75,1,4,9,2,2,1,0,1,1.5,0.5,1,2,0.0,1.0,0,0,0,1,0,2,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0x0bcc1c0290bcc624d12824d408f31c35309fa8d0,tokenRecipient,1,1,0,0,1.0,1,0.5,0,1,1,1,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
